numero_alimento;descricao_alimento;umidade_percent;energia_kcal;proteina_g;carboidrato_g;categoria
259;Azeite, de dendê;0;884.0000;0;0;Gorduras e óleos
43;Milho, fubá, cru;11.4533;353.4823;7.2138;78.8729;Cereais e derivados
48;Pão, aveia, forma;19.9167;343.0854;12.3500;59.5667;Cereais e derivados
509;Quindim;23.9300;411.3487;4.7375;46.2988;Produtos açucarados
497;Chocolate, ao leite, dietético;1.7320;556.8243;6.8979;56.3234;Produtos açucarados
267;Óleo, de babaçu;0;884.0000;0;0;Gorduras e óleos
461;Queijo, minas, frescal;56.1247;264.2731;17.4110;3.2403;Leite e derivados
311;Pintado, assado;56.9800;191.5591;36.4500;0.0000;Pescados e frutos do mar
270;Óleo, de milho;0;884.0000;0;0;Gorduras e óleos
499;Cocada branca;3.4237;448.8455;1.1218;81.3832;Produtos açucarados
328;Carne, bovina, acém, sem gordura, cozido;60.3833;214.6106;27.2700;0.0000;Carnes e derivados
297;Lambari, congelado, frito;40.1380;326.8684;28.4250;0.0000;Pescados e frutos do mar
514;Fermento, biológico, levedura, tablete;71.9010;89.7949;16.9570;7.6987;Miscelâneas
12;Biscoito, doce, wafer, recheado de morango;1.1733;513.4462;4.5170;67.3530;Cereais e derivados
102;Cará, cozido;78.8847;77.5849;1.5292;18.8525;Verduras, hortaliças e derivados
512;Capuccino, pó;2.6033;417.4067;11.3125;73.6142;Miscelâneas
81;Alfavaca, crua;90.2077;29.1836;2.6583;5.2410;Verduras, hortaliças e derivados
268;Óleo, de canola;0;884.0000;0;0;Gorduras e óleos
75;Agrião, cru;93.9433;16.5788;2.6884;2.2516;Verduras, hortaliças e derivados
586;Tremoço, em conserva;67.6843;120.6426;11.1083;12.3893;Leguminosas e derivados
572;Feijão, rosinha, cru;11.9533;336.9619;20.9167;62.2233;Leguminosas e derivados
519;Tempero a base de sal;7.6500;21.3300;2.6667;2.0733;Miscelâneas
115;Couve, manteiga, crua;90.9000;27.0567;2.8732;4.3335;Verduras, hortaliças e derivados
8;Biscoito, doce, maisena;3.2167;442.8194;8.0725;75.2341;Cereais e derivados
64;Abóbora, cabotian, cozida;86.3540;48.0437;1.4438;10.7609;Verduras, hortaliças e derivados
466;Queijo, petit suisse, morango;72.2150;121.1060;5.7867;18.4620;Leite e derivados
45;Milho, verde, enlatado, drenado;76.2233;97.5649;3.2283;17.1351;Cereais e derivados
557;Amendoim, grão, cru;6.4270;544.0527;27.1908;20.3135;Leguminosas e derivados
